idno,ppltrst,happy,health,cgtsday,alcfreq,height,weight,gndr,yrbrn,polpartvt
921018,6,9,Very good,10,2-3 times a month,178,64,Male,1990,[NA] Not applicable
921026,8,8,Very good,NA,Several times a week,172,64,Female,1948, Socialdemokraterne
921034,8,8,Good,NA,Every day,176,87,Male,1957," Venstre, Danmarks Liberale Parti"
921076,8,8,Good,NA,Several times a week,162,70,Female,1958,[NA] No answer
921084,5,8,Very good,NA,Every day,175,80,Male,1936, Socialdemokraterne
921131,8,8,Fair,NA,Several times a week,160,70,Female,1940, Liberal Alliance
921165,8,Extremely happy,Good,NA,Once a week,167,78,Female,1965," Venstre, Danmarks Liberale Parti"
921181,9,9,Fair,NA,Once a week,194,102,Male,1956, Det Radikale Venstre
921199,9,8,Fair,20,2-3 times a month,176,62,Female,1993," Venstre, Danmarks Liberale Parti"
921204,9,8,Good,NA,Once a week,157,48,Female,1941,[NA] Don't know
921220,8,8,Fair,NA,Every day,178,80,Male,1949, SF Socialistisk Folkeparti
921254,7,4,Very good,NA,Once a week,185,70,Male,1977, Det Radikale Venstre
921262,8,8,Very good,NA,2-3 times a month,180,93,Male,1987," Venstre, Danmarks Liberale Parti"
921288,8,8,Very good,NA,Several times a week,191,95,Male,1949, Socialdemokraterne
921296,5,9,Good,NA,Once a week,202,108,Male,1988," Venstre, Danmarks Liberale Parti"
921319,8,Extremely happy,Fair,10,Once a week,185,82,Male,1997,[NA] Not applicable
921327,9,9,Good,NA,Once a week,182,97,Male,1940, Enhedslisten
921335,8,9,Good,NA,Several times a week,178,84,Male,1945, Andet
921377,7,9,Good,NA,2-3 times a month,169,68,Male,1948," Venstre, Danmarks Liberale Parti"
921393,7,8,Very good,NA,Less than once a month,184,67,Male,1985," Venstre, Danmarks Liberale Parti"
921408,7,9,Fair,1,Several times a week,203,104,Male,1977," Venstre, Danmarks Liberale Parti"
921416,8,Extremely happy,Very good,40,Several times a week,186,83,Male,1953, Dansk Folkeparti
921424,7,9,Very good,NA,Several times a week,193,80,Male,1993, SF Socialistisk Folkeparti
921432,6,Extremely happy,Very good,6,Once a week,180,90,Male,1989, Socialdemokraterne
921440,9,9,Good,NA,Once a week,178,76,Male,1975,[NA] Don't know
921474,3,6,Fair,8,Less than once a month,160,70,Female,1980, Enhedslisten
921490,4,Extremely happy,Very good,NA,Never,167,62,Female,1965, SF Socialistisk Folkeparti
921505,8,8,Good,NA,2-3 times a month,185,83,Male,1968," Venstre, Danmarks Liberale Parti"
921521,6,9,Good,NA,Several times a week,191,75,Male,1987, SF Socialistisk Folkeparti
921539,7,9,Very good,5,Less than once a month,170,78,Female,1982, Det Radikale Venstre
921547,5,8,Good,NA,Once a month,164,68,Female,1999,[NA] Not applicable
921563,4,8,Good,8,Several times a week,180,70,Male,1954, Socialdemokraterne
921571,8,9,Fair,5,Less than once a month,163,92,Female,1978, Dansk Folkeparti
921589,8,9,Very bad,NA,Never,142,50,Female,1931, Det Konservative Folkeparti
921610,6,9,Good,NA,Less than once a month,170,60,Female,1978," Venstre, Danmarks Liberale Parti"
921628,7,8,Fair,NA,2-3 times a month,162,78,Female,1941,[NA] Refusal
921636,9,8,Very good,NA,2-3 times a month,185,68,Male,1996,[NA] Not applicable
921652,7,7,Very good,NA,Once a week,172,65,Female,1987, Det Radikale Venstre
921660,8,6,Very good,NA,2-3 times a month,173,76,Male,1941, Enhedslisten
921678,4,Extremely happy,Very good,10,Every day,178,65,Male,1946, Socialdemokraterne
921733,5,3,Fair,NA,Several times a week,182,95,Male,1960,[NA] Refusal
921814,9,Extremely happy,Very good,NA,Never,196,90,Male,1972, Det Radikale Venstre
921856,7,8,Very good,NA,2-3 times a month,158,79,Female,1969, Dansk Folkeparti
921864,8,7,Bad,20,Several times a week,169,66,Male,1994,[NA] Not applicable
921872,4,5,Very bad,15,Never,165,69,Female,1983,[NA] Don't know
921880,7,9,Good,NA,Once a week,180,80,Female,1963, Socialdemokraterne
921898,8,Extremely happy,Very good,NA,2-3 times a month,177,66,Female,1966, Det Radikale Venstre
921903,8,Extremely happy,Very good,3,2-3 times a month,170,76,Male,1967, Dansk Folkeparti
921911,5,1,Bad,20,Every day,175,98,Male,1969, Det Radikale Venstre
921937,4,4,Very good,10,Several times a week,180,64,Male,1994,[NA] Not applicable
921945,6,7,Very good,NA,Once a week,183,106,Male,1976," Venstre, Danmarks Liberale Parti"
921953,8,9,Fair,NA,Every day,172,82,Female,1935," Venstre, Danmarks Liberale Parti"
921987,7,7,Very good,NA,Once a week,179,74,Male,1964,[NA] Not applicable
922006,7,Extremely happy,Good,20,Less than once a month,167,106,Female,1964,[NA] Refusal
922014,5,9,Fair,NA,2-3 times a month,161,50,Female,1991,[NA] Don't know
922048,9,3,Bad,0,Every day,165,70,Male,1929, Socialdemokraterne
922056,6,8,Good,NA,Every day,153,58,Female,1973,[NA] Don't know
922072,7,9,Very good,NA,Once a month,162,69,Female,1988,[NA] Refusal
922080,5,6,Fair,20,Several times a week,184,87,Male,1975,[NA] Not applicable
922098,4,9,Very good,3,Less than once a month,186,69,Male,1947, Dansk Folkeparti
922103,9,8,Good,20,Every day,189,76,Male,1949, SF Socialistisk Folkeparti
922111,8,9,Very good,NA,Every day,169,60,Female,1944, Dansk Folkeparti
922129,4,8,Good,NA,Several times a week,185,70,Male,1998,[NA] Not applicable
922200,8,8,Good,NA,Once a month,188,105,Male,1975, SF Socialistisk Folkeparti
922226,5,8,Good,NA,Several times a week,173,80,Male,1941," Venstre, Danmarks Liberale Parti"
922250,8,8,Fair,NA,Several times a week,178,72,Female,1937,[NA] Not applicable
922268,9,Extremely happy,Very good,8,Several times a week,170,85,Female,1971," Venstre, Danmarks Liberale Parti"
922276,9,Extremely happy,Bad,NA,Several times a week,171,50,Male,1952," Venstre, Danmarks Liberale Parti"
922284,7,8,Good,6,Every day,176,77,Male,1947, Socialdemokraterne
922292,8,Extremely happy,Very good,NA,Once a week,169,65,Female,1968, Socialdemokrat
922315,7,7,Very good,NA,Several times a week,183,88,Male,1942,[NA] Refusal
922323,6,8,Fair,NA,Once a week,155,47,Female,1940,[NA] Not applicable
922381,5,9,Good,NA,Less than once a month,177,75,Male,1969," Venstre, Danmarks Liberale Parti"
